Date,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18,Week 19,Week 20,Week 21,Completion Date,Deliverable,Responsible Party,Status,,,,
,16-Feb,23-Feb,2-Mar,9-Mar,16-Mar,23-Mar,30-Mar,6-Apr,13-Apr,20-Apr,27-Apr,4-May,11-May,18-May,25-May,1-Jun,8-Jun,15-Jun,22-Jun,29-Jun,6-Jul,,,,,,,,
Requirements Gathering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Stakeholder Interviews,,,,,,,,,,,,,,,,,,,,,,5-Mar,,Stratigent/Sears Optical,In Progress,,,,
Business Requirements Documentation,,,,,,,,,,,,,,,,,,,,,,3-Mar,Business Requirements,Stratigent,In Progress,,,,
Requirements Signoff,,,,,,,,,,,,,,,,,,,,,,5-Mar,Requirements Signoff,Sears Optical,,,,,
Technical Implementation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA/EN Comparison List,,,,,,,,,,,,,,,,,,,,,,27-Feb,CA/EN Comparison List,Sears Optical,In Progress,,,,
Data Layer Meeting with Rosetta,,,,,,,,,,,,,,,,,,,,,,6-Mar,,Stratigent/Sears Optical,,,,,
Data Layer Documentation Development,,,,,,,,,,,,,,,,,,,,,,20-Mar,Data Layer Document,Stratigent,,,,,
SDD Development,,,,,,,,,,,,,,,,,,,,,,20-Mar,SDD,Stratigent,,,,,
SDD/Data Layer Signoff,,,,,,,,,,,,,,,,,,,,,,27-Mar,Signoff,Sears Optical,,,,,
Tealium Rule Creation,,,,,,,,,,,,,,,,,,,,,,5-Jun,Tealium Rules Implemented,Stratigent,,,,,
QA/UAT,,,,,,,,,,,,,,,,,,,,,,15-Jun,QA Defect Log,Stratigent,,,,,
Defect Resolution,,,,,,,,,,,,,,,,,,,,,,19-Jun,Resolved Defects,Rosetta,,,,,
Site Go Live,,,,,,,,,,,,,,,,,,,,,,24-Jun,,Rosetta,,,,,
Production QA,,,,,,,,,,,,,,,,,,,,,,24-Jun,Completed Production QA,Stratigent,,,,,
Report Creation,,,,,,,,,,,,,,,,,,,,,,3-Jul,Completed Reports,Stratigent,,,,,
Knowledge Transfer,,,,,,,,,,,,,,,,,,,,,,10-Jul,Completed Knowledge Transfer,Stratigent/Sears Optical,,,,,
Project Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Status updates, scheduling resources, etc.",,,,,,,,,,,,,,,,,,,,,,10-Jul,,Stratigent,In Progress,,,,
Project complete,,,,,,,,,,,,,,,,,,,,,,10-Jul,Desktop Site Implementation (EN/CA),Stratigent/Sears Optical,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,