SearsOptical.com Tag Specs,3/27/15,Site_Events,Global Variables,,,,,,,,,,,,,,,Page/Event Specific Variables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page - Element,Request Type,,page[level_1],page[level_2],page[level_3],page[level_4],page[level_n],layout_type,"banner_impressions[n][""banner_id""]","banner_impressions[n][""banner_size""]","banner_clicked[""banner_id""]","banner_clicked[""banner_size""]",authentication_status,country,language_code,products_viewed[n],favorite_products[n],zip_code,brand,customer_lead_id,customer_lead_level,customer_lead_type,"exams[n][""exam_id""]","exams[n][""exam_date""]","exams[n][""exam_time""]","exams[n][stores[n][""avail_exam""]]","exams[n][stores[n][""store_id""]","exams[n][stores[n][""online_scheduling""]]","exams[n][stores[n][""address""]]","exams[n][stores[n][""city""]]","exams[n][stores[n][""state""]]","exams[n][stores[n][""zip""]]",filters.gender,filters.brand,filters.type,filters.price_range.min_price,filters.price_range.max_price,filters.color,filters.face_shape,filters.frame_shape,filters.fit,filters.materials,filters.special_offers,keyword,"products[n][""upc""]","products[n][""price""]","products[n][""brand""]","products[n][""style""]","products[n][""model""]",products_viewed[n],preferred_store,registration_status,resutls_count,"stores[n][""avail_exam""]","stores[n][""store_id""]","stores[n][""online_scheduling""]","stores[n][""address""]","stores[n][""city""]","stores[n][""state""]","stores[n][""zip""]","stores[n][""miles_from_customer""]","stores[n][""result_position""]","stores[n][""zip_method""]",
Global Elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search  ,Page Load,successful_search,search,results,,,,<desktop|mobile>,<if banner exists>,<if banner exists>,<if banner click exists>,<if banner click exists>,<logged in|logged out>,<us|ca|...>,<language code>,[{products}],[{products}],,<matching brand>,,,,,,,,,,,,,,,,,,,,,,,,,<search term(s)>,"[upc,..]","[price,..]","[brand,...]","[style,...]","[model,...]",,,,<# of results>,,,,,,,,,,,
Search  ,Page Load,unsuccessful_search,search,results,,,,<desktop|mobile>,<if banner exists>,<if banner exists>,<if banner click exists>,<if banner click exists>,<logged in|logged out>,<us|ca|...>,<language code>,[{products}],[{products}],,,,,,,,,,,,,,,,,,,,,,,,,,,<search term(s)>,,,,,,,,,"""0""",,,,,,,,,,,
Search  ,In-page Interaction,"successful_search, successful_search_recommend",<inherit from _dl>,<inherit from _dl>,<inherit from _dl>,,,<desktop|mobile>,<if banner exists>,<if banner exists>,<if banner click exists>,<if banner click exists>,<logged in|logged out>,<us|ca|...>,<language code>,[{products}],[{products}],,,,,,,,,,,,,,,,,,,,,,,,,,,<search term(s)>,[upc],[price],[brand],[style],[model],,,,<# of results>,,,,,,,,,,,
Special Offers Opt-In,In-page Interaction,email_signup,<inherit from _dl>,<inherit from _dl>,<inherit from _dl>,,,<desktop|mobile>,,,<if banner click exists>,<if banner click exists>,<logged in|logged out>,<us|ca|...>,<language code>,[{products}],[{products}],,,<unique submission id>,partial:email,receive updates,,,,[yes|no],"[<store id>,…]",[yes|no],[address],[city],[state],[zip code],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
De-Authentication (Sign-Out),In-page Interaction,sign_out,<inherit from _dl>,<inherit from _dl>,<inherit from _dl>,,,<desktop|mobile>,,,<if banner click exists>,<if banner click exists>,logged out,<us|ca|...>,<language code>,[{products}],[{products}],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Password Reset,In-page Interaction,forgot_password,<inherit from _dl>,<inherit from _dl>,<inherit from _dl>,,,<desktop|mobile>,,,<if banner click exists>,<if banner click exists>,logged out,<us|ca|...>,<language code>,[{products}],[{products}],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banner Click-thru,In-page Interaction,banner_click,<inherit from _dl>,<inherit from _dl>,<inherit from _dl>,,,<desktop|mobile>,<banner id>,<banner dimensions>,<if banner click exists>,<if banner click exists>,<logged in|logged out>,<us|ca|...>,<language code>,[{products}],[{products}],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Section: Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homepage,Page Load,,home,,,home,,<desktop|mobile>,<if banner exists>,<if banner exists>,<if banner click exists>,<if banner click exists>,<logged in|logged out>,<us|ca|...>,<language code>,[{products}],[{products}],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Section: Catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category Landing Page,Page Load,,"<category e.g., mens or brands>",,,,,<desktop|mobile>,<if banner exists>,<if banner exists>,<if banner click exists>,<if banner click exists>,<logged in|logged out>,<us|ca|...>,<language code>,[{products}],[{products}],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product List Page,Page Load,product_list_page,"<category e.g., mens or brands>","<product type e.g., eyeglasses or new arrivals>",,,,<desktop|mobile>,<if banner exists>,<if banner exists>,<if banner click exists>,<if banner click exists>,<logged in|logged out>,<us|ca|...>,<language code>,[{products}],[{products}],,,,,,,,,,,,,,,,[gender],[brand(s)],[type(s)],<min price>,<max price>,[color(s)],[face shape(s)],[frame shape(s)],[fit(s)],[material(s)],[special offers],,"[upc,..]","[price,..]","[brand,...]","[style,...]","[model,...]",,,,,,,,,,,,,,,
Product List Page,in-page interaction,modify_filter,<inherit from _dl>,<inherit from _dl>,,,,<desktop|mobile>,,,<if banner click exists>,<if banner click exists>,<inherit from _dl>,<us|ca|...>,<language code>,[{products}],[{products}],,,,,,,,,,,,,,,,[gender],[brand(s)],[type(s)],<min price>,<max price>,[color(s)],[face shape(s)],[frame shape(s)],[fit(s)],[material(s)],[special offers],,[upc],[price],[brand],[style],[model],,,,,,,,,,,,,,,
Product List Page,in-page interaction,select_product,<inherit from _dl>,<inherit from _dl>,,,,<desktop|mobile>,,,<if banner click exists>,<if banner click exists>,<inherit from _dl>,<us|ca|...>,<language code>,[{products}],[{products}],,,,,,,,,,,,,,,,[gender],[brand(s)],[type(s)],<min price>,<max price>,[color(s)],[face shape(s)],[frame shape(s)],[fit(s)],[material(s)],[special offers],,[upc],[price],[brand],[style],[model],,,,,,,,,,,,,,,
Product List Page,In-page Interaction,initiate_favorites,<inherit from _dl>,<inherit from _dl>,<inherit from _dl>,,,<desktop|mobile>,,,<if banner click exists>,<if banner click exists>,<logged in|logged out>,<us|ca|...>,<language code>,[{products}],[{products}],,,,,,,,,,,,,,,,,,,,,,,,,,,,[upc],[price],[brand],[style],[model],,,,,,,,,,,,,,,
Product List Page,In-page Interaction,add_to_favorites,<inherit from _dl>,<inherit from _dl>,<inherit from _dl>,,,<desktop|mobile>,,,<if banner click exists>,<if banner click exists>,<logged in|logged out>,<us|ca|...>,<language code>,[{products}],[{products}],,,,,,,,,,,,,,,,,,,,,,,,,,,,[upc],[price],[brand],[style],[model],,,,,,,,,,,,,,,
Product List Page,In-page Interaction,add_to_compare,<inherit from _dl>,<inherit from _dl>,<inherit from _dl>,,,<desktop|mobile>,,,<if banner click exists>,<if banner click exists>,<logged in|logged out>,<us|ca|...>,<language code>,[{products}],[{products}],,,,,,,,,,,,,,,,,,,,,,,,,,,,[upc],[price],[brand],[style],[model],,,,,,,,,,,,,,,
Product List Page,In-page Interaction,remove_from_compare,<inherit from _dl>,<inherit from _dl>,<inherit from _dl>,,,<desktop|mobile>,,,<if banner click exists>,<if banner click exists>,<logged in|logged out>,<us|ca|...>,<language code>,[{products}],[{products}],,,,,,,,,,,,,,,,,,,,,,,,,,,,[upc],[price],[brand],[style],[model],,,,,,,,,,,,,,,
Product Details Page,Page Load,product_view,"<category e.g., mens or brands>","<product type e.g., eyeglasses or new arrivals>",product detail,<product name>,,<desktop|mobile>,,,<if banner click exists>,<if banner click exists>,<logged in|logged out>,<us|ca|...>,<language code>,[{products}],[{products}],,,,,,,,,,,,,,,,,,,,,,,,,,,,[upc],[price],[brand],[style],[model],[<Add product to  array if viewed product does not already exist inside this array>],,,,,,,,,,,,,,
Product Details Page,In-page Interaction,add_to_favorites,<inherit from _dl>,<inherit from _dl>,<inherit from _dl>,,,<desktop|mobile>,,,<if banner click exists>,<if banner click exists>,<logged in|logged out>,<us|ca|...>,<language code>,[{products}],[{products}],,,,,,,,,,,,,,,,,,,,,,,,,,,,[upc],[price],[brand],[style],[model],,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Section: Eye Care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eye Care Category Landing Page,Page Load,,eye care,,,,,<desktop|mobile>,<if banner exists>,<if banner exists>,<if banner click exists>,<if banner click exists>,<logged in|logged out>,<us|ca|...>,<language code>,[{products}],[{products}],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eye Care > Lenses > materials and enhancements,Page Load,,eye care,lenses,lens materials and enhancements,,,<desktop|mobile>,<if banner exists>,<if banner exists>,<if banner click exists>,<if banner click exists>,<logged in|logged out>,<us|ca|...>,<language code>,[{products}],[{products}],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eye Care > Lenses > polarized,Page Load,,eye care,lenses,polarized rx,,,<desktop|mobile>,<if banner exists>,<if banner exists>,<if banner click exists>,<if banner click exists>,<logged in|logged out>,<us|ca|...>,<language code>,[{products}],[{products}],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eye Care > Lenses > tech view,Page Load,,eye care,lenses,tech view,,,<desktop|mobile>,<if banner exists>,<if banner exists>,<if banner click exists>,<if banner click exists>,<logged in|logged out>,<us|ca|...>,<language code>,[{products}],[{products}],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eye Care > Insurance Coverage > benefits,Page Load,,eye care,insurance,insurance benefits,,,<desktop|mobile>,<if banner exists>,<if banner exists>,<if banner click exists>,<if banner click exists>,<logged in|logged out>,<us|ca|...>,<language code>,[{products}],[{products}],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eye Care > Insurance Coverage > AAA members,Page Load,,eye care,insurance,aaa members,,,<desktop|mobile>,<if banner exists>,<if banner exists>,<if banner click exists>,<if banner click exists>,<logged in|logged out>,<us|ca|...>,<language code>,[{products}],[{products}],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eye Care > Insurance Coverage > AARP members,Page Load,,eye care,insurance,aarp members,,,<desktop|mobile>,<if banner exists>,<if banner exists>,<if banner click exists>,<if banner click exists>,<logged in|logged out>,<us|ca|...>,<language code>,[{products}],[{products}],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eye Care > Insurance Coverage > eyewear protection plan,Page Load,,eye care,insurance,eyewear protection plan,,,<desktop|mobile>,<if banner exists>,<if banner exists>,<if banner click exists>,<if banner click exists>,<logged in|logged out>,<us|ca|...>,<language code>,[{products}],[{products}],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EyeCare > Your Health,Page Load,,eye care,your health,eye health,,,<desktop|mobile>,<if banner exists>,<if banner exists>,<if banner click exists>,<if banner click exists>,<logged in|logged out>,<us|ca|...>,<language code>,[{products}],[{products}],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Section:Corporate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Customer Care - Privacy,Page Load,,customer care,privacy,,,,<desktop|mobile>,<if banner exists>,<if banner exists>,<if banner click exists>,<if banner click exists>,<logged in|logged out>,<us|ca|...>,<language code>,[{products}],[{products}],<zip>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Customer Care - Contact Sears Optical,Page Load,,customer care,contact us,,,,<desktop|mobile>,<if banner exists>,<if banner exists>,<if banner click exists>,<if banner click exists>,<logged in|logged out>,<us|ca|...>,<language code>,[{products}],[{products}],<zip>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Customer Care - Contact Sears Optical - Confirmation,in-page interaction,contact_us,<inherit from _dl>,<inherit from _dl>,,,,<desktop|mobile>,,,<if banner click exists>,<if banner click exists>,<inherit from _dl>,<us|ca|...>,<language code>,[{products}],[{products}],<zip>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Customer Care - Frequently Asked Questions,Page Load,,customer care,faqs,,,,<desktop|mobile>,<if banner exists>,<if banner exists>,<if banner click exists>,<if banner click exists>,<logged in|logged out>,<us|ca|...>,<language code>,[{products}],[{products}],<zip>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Customer Care - Shop Your Way,Page Load,,customer care,shop your way,,,,<desktop|mobile>,<if banner exists>,<if banner exists>,<if banner click exists>,<if banner click exists>,<logged in|logged out>,<us|ca|...>,<language code>,[{products}],[{products}],<zip>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corporate Page - About Sears Optical,Page Load,,about us,about sears optical,,,,<desktop|mobile>,<if banner exists>,<if banner exists>,<if banner click exists>,<if banner click exists>,<logged in|logged out>,<us|ca|...>,<language code>,[{products}],[{products}],<zip>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Corporate Page - One World, One Passion, OneSight",Page Load,,about us,onesight,,,,<desktop|mobile>,<if banner exists>,<if banner exists>,<if banner click exists>,<if banner click exists>,<logged in|logged out>,<us|ca|...>,<language code>,[{products}],[{products}],<zip>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corporate Page - Careers,Page Load,,about us,careers,,,,<desktop|mobile>,<if banner exists>,<if banner exists>,<if banner click exists>,<if banner click exists>,<logged in|logged out>,<us|ca|...>,<language code>,[{products}],[{products}],<zip>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site Map,Page Load,,site map,,,,,<desktop|mobile>,<if banner exists>,<if banner exists>,<if banner click exists>,<if banner click exists>,<logged in|logged out>,<us|ca|...>,<language code>,[{products}],[{products}],<zip>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Section: Features,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product Compare - Default,Page Load,compare_products,feature,product compare,comparison,,,<desktop|mobile>,<if banner exists>,<if banner exists>,<if banner click exists>,<if banner click exists>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[upc,..]","[price,..]","[brand,...]","[style,...]","[model,...]",,,,,,,,,,,,,,,
Product Compare - Default,In-page Interaction,add_to_favorites,<inherit from _dl>,<inherit from _dl>,<inherit from _dl>,,,<desktop|mobile>,,,,,<logged in|logged out>,<us|ca|...>,<language code>,[{products}],[{products}],<zip>,,,,,,,,,,,,,,,,,,,,,,,,,,,[upc],[price],[brand],[style],[model],,,,,,,,,,,,,,,
Offers Page,Page Load,view_offers,feature,offers,,,,<desktop|mobile>,<if banner exists>,<if banner exists>,<if banner click exists>,<if banner click exists>,<inherit from _dl>,<us|ca|...>,<language code>,[{products}],[{products}],<zip>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Account - Dashboard - Overview,Page Load,sign_in,feature,account,my account,,,<desktop|mobile>,<if banner exists>,<if banner exists>,<if banner click exists>,<if banner click exists>,logged in,<us|ca|...>,<language code>,[{products}],[{products}],<zip>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<store ID>,registered,,,,,,,,,,,,
My Account - Dashboard - Complete State,Page Load,"new_account, authentication_complete, email_signup",feature,account,my account,,,<desktop|mobile>,<if banner exists>,<if banner exists>,<if banner click exists>,<if banner click exists>,logged in,<us|ca|...>,<language code>,[{products}],[{products}],<zip>,,<unique random id>,<fully qualified|partial:email|partial:phone>,<receive updates|standard registration>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,registered,,,,,,,,,,,,
My Account - Dashboard - Edit Profile,Page Load,,feature,account,my account,preferences,,<desktop|mobile>,<if banner exists>,<if banner exists>,<if banner click exists>,<if banner click exists>,<logged in|logged out>,<us|ca|...>,<language code>,[{products}],[{products}],<zip>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Favorites Page,Page Load,view_favorites,feature,account,favorites,,,<desktop|mobile>,<if banner exists>,<if banner exists>,<if banner click exists>,<if banner click exists>,<logged in|logged out>,<us|ca|...>,<language code>,[{products}],[{products}],<zip>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Favorites Page,In-page Interaction,remove_from_favorites,<inherit from _dl>,<inherit from _dl>,<inherit from _dl>,,,<desktop|mobile>,,,,,<inherit from _dl>,<us|ca|...>,<language code>,[{products}],[{products}],<zip>,,,,,,,,,,,,,,,,,,,,,,,,,,,[upc],[price],[brand],[style],[model],,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Section: Find a Location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Find a Location - Default,Page Load,,feature,find a location,,,,<desktop|mobile>,<if banner exists>,<if banner exists>,<if banner click exists>,<if banner click exists>,<logged in|logged out>,<us|ca|...>,<language code>,[{products}],[{products}],<zip>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Find a Location - Default,In-page Interaction,store_locator_submit_zip,<inherit from _dl>,<inherit from _dl>,<inherit from _dl>,,,<desktop|mobile>,,,,,<inherit from _dl>,<us|ca|...>,<language code>,[{products}],[{products}],<zip>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<geolocation|manual>,
Find a Location - Results,Page Load,find_store,feature,find a location,results,,,<desktop|mobile>,<if banner exists>,<if banner exists>,<if banner click exists>,<if banner click exists>,<logged in|logged out>,<us|ca|...>,<language code>,[{products}],[{products}],<zip>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<# of stores>,"[yes|no,yes|no,...]","[<store id>,<store id>,…]","[yes|no,yes|no,...]","[<address>,<address>,...]","[<city>,<city>,...]","[<state>,<state>,...]","[<zip code>,<zip code>,...]","[<miles from customer>,<miles from customer>,...]","[<position>,<position>,...]",,
Find a Location - Schedule an Exam,In-page Interaction,schedule_exam_cta,<inherit from _dl>,<inherit from _dl>,<inherit from _dl>,,,<desktop|mobile>,,,,,<inherit from _dl>,<us|ca|...>,<language code>,[{products}],[{products}],<zip>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[yes|no],"[<store id>,…]",[yes|no],[address],[city],[state],[zip code],[miles from customer],[position],,
Find a Location Results - View Doctor Info & Hours,In-page Interaction,view_doctor_info,<inherit from _dl>,<inherit from _dl>,<inherit from _dl>,,,<desktop|mobile>,,,,,<inherit from _dl>,<us|ca|...>,<language code>,[{products}],[{products}],<zip>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[yes|no],"[<store id>,…]",[yes|no],[address],[city],[state],[zip code],[miles from customer],[position],,
Find a Location Results - View Store Hours,In-page Interaction,view_store_hours,<inherit from _dl>,<inherit from _dl>,<inherit from _dl>,,,<desktop|mobile>,,,,,<inherit from _dl>,<us|ca|...>,<language code>,[{products}],[{products}],<zip>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[yes|no],"[<store id>,…]",[yes|no],[address],[city],[state],[zip code],[miles from customer],[position],,
Find a Location Results - View Store Hours,In-page Interaction,get_directions,<inherit from _dl>,<inherit from _dl>,<inherit from _dl>,,,<desktop|mobile>,,,,,<inherit from _dl>,<us|ca|...>,<language code>,[{products}],[{products}],<zip>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[yes|no],"[<store id>,…]",[yes|no],[address],[city],[state],[zip code],[miles from customer],[position],,
Find a Location Results - Set Preferred Store,In-page Interaction,set_pref_store,<inherit from _dl>,<inherit from _dl>,<inherit from _dl>,,,<desktop|mobile>,,,,,<inherit from _dl>,<us|ca|...>,<language code>,[{products}],[{products}],<zip>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[yes|no],"[<store id>,…]",[yes|no],[address],[city],[state],[zip code],[miles from customer],[position],,
Find a Location Results - Call to Schedule,In-page Interaction,call_to_schedule,<inherit from _dl>,<inherit from _dl>,<inherit from _dl>,,,mobile,,,,,<inherit from _dl>,<us|ca|...>,<language code>,[{products}],[{products}],<zip>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[yes|no],"[<store id>,…]",[yes|no],[address],[city],[state],[zip code],[miles from customer],[position],,
Get Directions Page,Page Load,,feature,get directions,,,,<desktop|mobile>,<if banner exists>,<if banner exists>,<if banner click exists>,<if banner click exists>,<logged in|logged out>,<us|ca|...>,<language code>,[{products}],[{products}],<zip>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Section: Schedule An Eye Exam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schedule Eye Exam - Step 1 - Location,Page Load,,feature,appointment scheduler,location,,,<desktop|mobile>,<if banner exists>,<if banner exists>,<if banner click exists>,<if banner click exists>,<logged in|logged out>,<us|ca|...>,<language code>,[{products}],[{products}],<zip>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schedule Eye Exam - Step 1 - Location Results,Page Load,exam_scheduler_find_store,feature,appointment scheduler,location:results,,,<desktop|mobile>,<if banner exists>,<if banner exists>,<if banner click exists>,<if banner click exists>,<logged in|logged out>,<us|ca|...>,<language code>,[{products}],[{products}],<zip>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[yes|no],"[<store id>,…]",[yes|no],[address],[city],[state],[zip code],[miles from customer],[position],,
Schedule Eye Exam - Step 2 - Schedule,Page Load,exam_scheduler_schedule,feature,appointment scheduler,schedule,,,<desktop|mobile>,<if banner exists>,<if banner exists>,<if banner click exists>,<if banner click exists>,<logged in|logged out>,<us|ca|...>,<language code>,[{products}],[{products}],<zip>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[yes|no],"[<store id>,…]",[yes|no],[address],[city],[state],[zip code],,,,
Schedule Eye Exam - Step 3 - Review,Page Load,exam_scheduler_review,feature,appointment scheduler,review,,,<desktop|mobile>,<if banner exists>,<if banner exists>,<if banner click exists>,<if banner click exists>,<logged in|logged out>,<us|ca|...>,<language code>,[{products}],[{products}],<zip>,,,,,<exam id>,<exam date>,<exam time>,[yes|no],"[<store id>,…]",[yes|no],[address],[city],[state],[zip code],,,,,,,,,,,,,,,,,,,,,,[yes|no],"[<store id>,…]",[yes|no],[address],[city],[state],[zip code],,,,
Schedule Eye Exam - Step 4 - Confirmation,Page Load,exam_scheduler_complete,feature,appointment scheduler,confirmation,,,<desktop|mobile>,<if banner exists>,<if banner exists>,<if banner click exists>,<if banner click exists>,<logged in|logged out>,<us|ca|...>,<language code>,[{products}],[{products}],<zip>,,<unique submission id>,fully qualified,exam scheduler,<exam id>,<exam date>,<exam time>,[yes|no],"[<store id>,…]",[yes|no],[address],[city],[state],[zip code],,,,,,,,,,,,,,,,,,,,,,[yes|no],"[<store id>,…]",[yes|no],[address],[city],[state],[zip code],,,,
Edit Eye Exam,In-page Interaction,edit_exam,<inherit from _dl>,<inherit from _dl>,<inherit from _dl>,,,<desktop|mobile>,,,,,<inherit from _dl>,<us|ca|...>,<language code>,[{products}],[{products}],<zip>,,,,,<exam id>,<exam date>,<exam time>,[yes|no],"[<store id>,…]",[yes|no],[address],[city],[state],[zip code],,,,,,,,,,,,,,,,,,,,,,[yes|no],"[<store id>,…]",[yes|no],[address],[city],[state],[zip code],,,,
Remove Eye Exam,In-page Interaction,remove_exam,<inherit from _dl>,<inherit from _dl>,<inherit from _dl>,,,<desktop|mobile>,,,,,<inherit from _dl>,<us|ca|...>,<language code>,[{products}],[{products}],<zip>,,,,,<exam id>,<exam date>,<exam time>,[yes|no],"[<store id>,…]",[yes|no],[address],[city],[state],[zip code],,,,,,,,,,,,,,,,,,,,,,[yes|no],"[<store id>,…]",[yes|no],[address],[city],[state],[zip code],,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTATION & COLORS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<…> = Value dependent on Plan logic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[…] = Array variable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White = Current & correct tagging before this revision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orange = New in this revision of the file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue = Global Dynamic Variable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple Font = See Data Layer Guide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yellow = Need to be reviewed with team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,