Issue ID,Business Requirement,Description,Expected Results,Expected Results,URL(s) Validated,Date/Time,Browser,Actual Results,_dl,Notes,,
1,Product Detail Page,Populate _dl when a product detail page is viewed,,Pass,http://v7stage.searsoptical.com//ProductDisplay?urlRequestType=Base&catalogId=16951&categoryId=278706&productId=562707&errorViewName=ProductDisplayErrorView&urlLangId=-1&langId=-1&top_category=&parent_category_rn=&storeId=12653,"6/8/2015, 3:57 PM",Chrome,(see screenshot),,,,
2,Add to Favorites,Populate _dl when a product detail page is favorited,,Fail,http://v7stage.searsoptical.com//ProductDisplay?urlRequestType=Base&catalogId=13251&categoryId=&productId=562753&errorViewName=ProductDisplayErrorView&urlLangId=-1&langId=-1&top_category=&parent_category_rn=&storeId=12653,"6/8/2015, 3:59 PM",Chrome,(see screenshot),,"No favorites object is present, site_event is wrong",,
3,Product List Page,Populate _dl when a product list page is viewed\,,Fail,http://v7stage.searsoptical.com/SearchDisplay?searchTermScope=&searchType=1000&filterTerm=&orderBy=&maxPrice=&showResultsPage=true&langId=-1&beginIndex=0&sType=SimpleSearch&metaData=&pageSize=&manufacturer=&leftNavTopCategoryId=278703&resultCatEntryType=&catalogId=16951&pageView=image&searchTerm=&fromCategoryPage=Y&facet=ads_f30001_ntk_cs%253A%2522Extended%2522&minPrice=&categoryId=278706&storeId=12653,"6/8/2015, 4:13 PM",Chrome,N/A - no data layer object is found,,,,
4,Product List Page - Filters,Populate _dl when a product list page is viewed\,,Fail,http://v7stage.searsoptical.com/SearchDisplay?searchTermScope=&searchType=1000&filterTerm=&orderBy=&maxPrice=&showResultsPage=true&langId=-1&beginIndex=0&sType=SimpleSearch&metaData=&pageSize=&manufacturer=&leftNavTopCategoryId=278703&resultCatEntryType=&catalogId=16951&pageView=image&searchTerm=&fromCategoryPage=Y&facet=ads_f30001_ntk_cs%253A%2522Extended%2522&minPrice=&categoryId=278706&storeId=12653,"6/9/2015, 11:37 AM",Chrome,,,Fail - filters object is incorrect,,
5,View Favorites,Populate _dl when favorites are viewed,,Fail,https://v7stage.searsoptical.com/NonAjaxAccountWishListDisplayView?catalogId=13251&langId=-1&storeId=12653,"6/9/2015, 11:43 PM",Chrome,,,"Fail - favorite_products array is incorrect. Also, products_viewed array is not present",,
6,Compare Products,When visitors are directed to the compare page after clicking on compare CTA button,"_dl = { ""site_events"": { ""compare_products"": true }, ""products"": [{products object}], //Additional global variables per requirement };",Fail ,,"6/9/2015, 2:00 PM",Chrome,,,"Products array , authentication_status, favorite_products  array is not getting tracked.",,
7,User Accounts- Registration Complete,User gets redirected to account overview page on creating a new account,"_dl = { ""site_events"" : { ""new_account"": true, ""authentication_complete"": true, ""email_signup"": true }, ""authentication_status"" : ""logged in"", ""registration_status"" : ""registered"", ""customer_lead_type"" : ""receive updates"", ""customer_lead_level"" : ""fully qualified"", ""customer_lead_id” : “<unique random value>"" //Additional global variables }",Fail ,,"6/9/2015, 2:00 PM",Chrome,,,No values from the expected results gets populated in the data layer.,,
8,User Accounts- Authentication Complete,User gets redirected to account overview page after successfully logging in,"_dl = { ""site_events"" : { ""sign_in"" : true }, ""authentication_status"" : ""logged in"", ""registration_status"" : ""registered"", ""preferred_store"" : [{stores object}] //Additional global variables }",Fail ,,"6/9/2015, 2:00 PM",Chrome,,,No values from the expected results gets populated in the data layer.,,
9,Onsite Search Results Page- Successful search,visitor submits a keyword/phrase to the site search feature they are either redirected to a filtered catalog page or a “no results” page,"_dl = { ""site_events"": { ""successful_search"":true }, ""results_count"": ""<# of results>"" ""keyword"": ""<search term>"" ""brand"": ""<brand>"" ""products”: [{products object}] //Additional variables per requirement }",Fail ,,"6/9/2015, 2:00 PM",Chrome,,,"brand, products_array, page_name, authentication_status ,favorite_products are not getting tracked in the data-layer",,
10,Onsite Search Results Page- UnSuccessful search,visitor submits a keyword/phrase to the site search feature they are either redirected to a filtered catalog page or a “no results” page,"_dl = { ""site_events"": { ""unsuccessful_search"":true }, ""results_count"": ""<# of results>"" ""keyword"": ""<search term>"" ""brand"": ""<brand>"" ""products”: [{products object}] //Additional variables per requirement }",Fail ,,"6/9/2015, 2:00 PM",Chrome,,,"page_name, authentication_status,favorties product are not getting tracked in the data-layer",,
11,Store Locator / Find a Location Results,visitor locates a store by entering location and landing on stores result page,"_dl = { ""site_events"": { ""find_store"": true }, ""zip_code"": ""<user provided zip>"", ""stores"": [{stores object}] //Additional global variables per requirement };",Fail ,,"6/9/2015, 2:00 PM",Chrome,,,"site_event is getting populated with the wrong value, ""stores"" object is not getting populated, authentication_status and favorites product is not getting tracked.",,
12,Schedule an Eye Exam Funnel - Step 1 - Location,locate a store to make an appointment,"_dl = { ""site_events"" : { ""exam_scheduler_find_store"": true }, ""zip_code"": ""<user provided zip code>"", ""stores"": [{stores object}] //Additional global variables });",Fail ,,"6/9/2015, 2:00 PM",Chrome,,,"site_event is getting populated with the wrong value, ""stores"" object is not getting populated, authentication_status and favorites product is not getting tracked. Check if page name value is getting populated correctly as it is step-1 of the process.",,
13,Schedule an Eye Exam Funnel - Step 2- Schedule,patient finds a data and time and provides personal information on this page,"_dl = { ""site_events"" : { ""exam_scheduler_schedule"": true }, ""zip_code"": ""<user provided zip code>"", ""stores"": [{stores object}] //Additional global variables });",Fail ,,"6/9/2015, 2:00 PM",Chrome,,,"Second step is viewed on a different domain - https://v7stage.examappt.com/webapp/wcs/stores/servlet/EyeExamFlow?storeNumber=1415&clearExams=1&iFrameType=&catalogId=16951&storeId=12653&langId=.             The testing was done by capturing the URL from the i-frame .                                                          Results :  Authentication status, favorite_products are not getting tracked. zipcode value is getting tracked twice, once with the right value and a null value, address, miles_from_customer, result position are not getting populated.",,
14,Schedule and Eye Exam Funnel - Step 3 - Review ,visitor lands on the review page for eye exam,"_dl = { ""site_events"" : { ""exam_scheduler_review"": true }, ""exams"": [{exams object}] //Additional global variables });",Fail ,,"6/9/2015, 2:00 PM",Chrome,,,"authentication_status, favorite_product is not getting tracked,  Store object present in the Exam object is missing the address value. Also additional varibales are getting tracked when compared to the store object structure in the exam object.",,
15,Schedule and Eye Exam Funnel - Step 4 - Confirmation,last ste of the process which is the confirmation page,"_dl = { ""site_events"" : { ""exam_scheduler_complete"": true }, ""customer_lead_type"" : ""exam scheduler"", ""customer_lead_level"" : ""fully qualified"", ""customer_lead_id"" : ""<unique ID identifying submission>"", ""exams"": [{exams object}] //Additional global variables });",TBD,,"6/9/2015, 2:00 PM",Chrome,,,"Cannot reach to the final confirmation page for this section, site issues.",,
16,Banner Impressions,Banner presented to the user on the site,"_dl = { ""site_events"" : { ""banner_impression"" : true }, ""banner_impressions"" : [{banners object}] //Additional variables per requirement }",Fail ,,"6/9/2015, 2:00 PM",Chrome,,,"Site_events,banner impressions, authentication_status, favorite_products object are not getting tracked, ",,
17,Banner Click-thru,when any banner is clicked upon,"_dl = { ""site_events"" : { ""banner_click"":true }, ""banner_clicked"" : {banners object} //Additional variables per requirement }",Fail ,,"6/9/2015, 2:00 PM",Chrome,,,"Site_events, banner_clicked object , page_name, favorite_prudcts object are not getting tracked.",,
18,Product list Pages - Filters,when any filters are applied to product list pages,"_trackAnalytics({ ""site_events"": { ""modify_filter"": true }, ""products"": [{products object}], ""filters"": { ""gender"": [""men""], ""face_shape"": [""square""], ""color"": [""brown""] “fit”: [“narrow”], “materials”: [“metal”], “special_offers”: [“on sale”], } //Additional global variables per requirement });",Fail ,,"6/9/2015, 2:00 PM",Chrome,,,Cannot see any tracking fired,,
19,Product List Pages - Select Product,when any product is selected and clicked,"_trackAnalytics({ ""site_events"": { ""select_product"": true }, ""products"": [{products object}], ""filters"": { ""gender"" : [""men""], ""face_shape"" : [""square""], ""color"" : [""brown""] ""fit"" : [""narrow""], ""materials"" : [""metal""], ""special_offers"" : [""on sale""], } //Additional global variables per requirement });",Fail ,,"6/9/2015, 2:00 PM",Chrome,,,Cannot see any tracking fired,,
20,Favorites- Iniate add to favorites,When add to favorite process is initated,"_trackAnalytics({ ""site_events"": { ""initiate_favorites"": true }, ""products"": [{products object}] //Additional global variables per requirement });",Fail ,,"6/9/2015, 2:00 PM",Chrome,,,"site events is gettting tracked with the wrong value, style variable in product array object is null, no additional global varibales are getting tracked.",,
20,Favorites- add to favorites,when any product is added to the favorite cart,"_trackAnalytics({ ""site_events"": { ""add_to_favorites"": true }, ""products"": [{products object}] //Additional global variables per requirement });",Fail ,,"6/9/2015, 2:00 PM",Chrome,,,"site events is gettting tracked with the wrong value, style variable in product array object is null, no additional global varibales are getting tracked.",,
21,Remove from Favorites,when product is removed from the favorite section,"_trackAnalytics({ ""site_events"": { ""remove_from_favorites"": true }, ""products"": [{products object}] //Additional global variables per requirement });",Fail ,,"6/9/2015, 2:00 PM",Chrome,,,"products array object is not populated, no additional global varibales are getting tracked.",,
22,Compare Products- Add to Compare,when the compare icon is clicked to add aproduct,"_trackAnalytics({ ""site_events"": { ""add_to_compare"": true }, ""products"": [{products object}] //Additional global variables per requirement });",Fail ,,"6/9/2015, 2:00 PM",Chrome,,,"site events is getting tracked with the wrong value, style variable in product array object is null, no additional global variables are getting tracked.",,